FAC_ID,FAC_NAME,OP_BA_ID,OPERATOR,SUB_CODE,FAC_SUB_TY,LIC_NUMBER,LIC_TYPE,EDCT_TYPE,EDCT_DESCR,LIC_BA_ID,LICENSEE,FAC_STATUS,LOC_SOURCE,icon_url
ABBT0136500,14-35-68-10 Single Well Oil Battery,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0237132",W,,,A7N3,Acquisition Oil Corp.,Suspended,Well Licence,./0.png
ABBT0136715,Arcan 15-4 Hz Swanh 7-3-68-8,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0466498",W,"150",Multi Well Pad =0.00,A74X,Aspenleaf Energy Limited,Suspended,Well Licence,./0.png
ABBT0121667,Pennwest Swan Hills,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"0443769",W,"360",Single Well <0.3,A7L1,Razor Energy Corp.,Suspended,Well Licence,./0.png
ABBT0121708,Ethel 2-28,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0437488",W,"150",Multi Well Pad =0.00,A74X,Aspenleaf Energy Limited,Suspended,Well Licence,./0.png
ABBT0122048,Pennwest Swan Hills,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"0441791",W,"360",Single Well <0.3,A7L1,Razor Energy Corp.,Suspended,Well Licence,./0.png
ABBT0120372,Pec Hz Swanh 1-25-68-9,0TM9,NAL Resources Limited,"311",Crude Oil Single-Well Battery,"0431559",W,"140",Single Well 0.00,A7G2,Ridgeback Resources Inc.,Suspended,Well Licence,./0.png
ABBT0120609,Swanh 15-01,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0437831",W,"140",Single Well 0.00,A74X,Aspenleaf Energy Limited,Active,Well Licence,./0.png
ABBT0120685,Crescent Hz Swan Hills 14-36-67-11w5,A2J6,Crescent Point Energy Corp.,"311",Crude Oil Single-Well Battery,"0440646",W,"280",Single Well <0.01,A7N3,Acquisition Oil Corp.,Suspended,Well Licence,./0.png
ABBT0122483,Pennwest Swan Hills,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"0433225",W,"360",Single Well <0.3,A7L1,Razor Energy Corp.,Suspended,Well Licence,./0.png
ABBT0138548,Acl Hz Swanh 05-10-070-11w5,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0470933",W,"360",Single Well <0.3,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT0120738,Coral Hill 00/02-35-069-09w5,A2J6,Crescent Point Energy Corp.,"311",Crude Oil Single-Well Battery,"0444330",W,"280",Single Well <0.01,A7N3,Acquisition Oil Corp.,New,Well Licence,./0.png
