X,Y,CGNDB_ID,GEONAME,LANGUAGE,SYLLABIC,GENERIC,CATEGORY,CONCISE,FEATURE_ID,LOCATION,PROV_TERR,REL_SCALE,DECISION,SOURCE,icon_url
-113.08333,49.083333,IAMCV,Jefferson,Undetermined,,Locality,Populated Place,UNP,c5f12363d05211d892e2080020a0f4c9,36-1-24-W4,Alberta,"50000",1974-12-31,Alberta Culture and Tourism,./2.png
-117.6983333,52.7933333,IARWQ,Jeffery Creek,Undetermined,,Creek,Water Feature,RIV,8b9359a2c6cb11d892e2080020a0f4c9,,Alberta,"250000",1987-05-05,Alberta Culture and Tourism,./0.png
-113.5772222,54.0958333,IAMCW,Jeffrey,Undetermined,,Locality,Populated Place,UNP,0c87e9a2849c20c372dbf19083ee8091,18-59-24-W4,Alberta,"250000",1945-12-08,Alberta Culture and Tourism,./2.png
-111.4536111,58.6666667,IAMCZ,Jemis Lake,Undetermined,,Lake,Water Feature,LAKE,0c87e9ef849c20c3f78ccaf4bd8b486c,111-9-W4,Alberta,"250000",1968-04-02,Alberta Culture and Tourism,./0.png
-113.2983333,52.6661111,IAQSY,Jenkins Hill,Undetermined,,Hill,Terrain Feature,MTN,0c89f593849c20c362a3eb27eb3d7013,"31,32-42-23-W4",Alberta,"250000",1983-10-20,Alberta Culture and Tourism,./3.png
-113.6,54.916667,IAMDA,Jenkins Lake,Undetermined,,Lake,Water Feature,LAKE,0c87ea33849c20c39a8fab9a35fdf562,68-24-W4,Alberta,"250000",1953-04-02,Alberta Culture and Tourism,./0.png
-111.1844444,50.7466666,IAMDC,Jenner,Undetermined,,Locality,Populated Place,UNP,0c87eab5849c20c3f10bde06291c2f2c,33-20-9-W4,Alberta,"1000000",1949-07-07,Alberta Culture and Tourism,./2.png
-111.3455556,49.8733333,IAMDD,Jensen,Undetermined,,Locality,Populated Place,UNP,0c87ea75849c20c316092f2badb42cb1,6-11-10-W4,Alberta,"50000",1963-08-20,Alberta Culture and Tourism,./2.png
-112.8975,49.33,IAMDE,Jensen Dam,Undetermined,,Dam,Constructed Feature,HYDR,0c87eafb849c20c31923f489f5d9a196,4-22-W4,Alberta,"50000",1948-06-09,Alberta Culture and Tourism,./5.png
-112.8975,49.3133334,IAMDG,Jensen Reservoir,Undetermined,,Reservoir,Water Feature,LAKE,0c87eb7d849c20c39e5fb765bd38898f,4-22-W4,Alberta,"250000",1948-06-09,Alberta Culture and Tourism,./0.png
-111.8927778,54.6658333,IAMDH,Jeremie Lake,Undetermined,,Lake,Water Feature,LAKE,0c87eb3c849c20c3659ec21505895886,65-13-W4,Alberta,"250000",1951-05-03,Alberta Culture and Tourism,./0.png
-110.7122222,54.0636111,IAMDJ,Jerome Lake,Undetermined,,Lake,Water Feature,LAKE,0c87ebbe849c20c356788fe44b13e452,"58,59-5-W4",Alberta,"250000",1957-05-02,Alberta Culture and Tourism,./0.png
-115.3,55.1,IAMDL,Jerry Creek,Undetermined,,Creek,Water Feature,RIV,0c87ec3f849c20c3dd27a5894c618ac8,70-9-W5,Alberta,"250000",1954-02-03,Alberta Culture and Tourism,./0.png
-112.9255556,49.6366667,IARUJ,Jerry the Bird's Bottom,Undetermined,,Bottom,Feature Associated with Vegetation,VEGL,8b7f8380c6cb11d892e2080020a0f4c9,9-8-22-4,Alberta,"50000",1998-11-18,Alberta Culture and Tourism,./6.png
-110.73333,54.25,IAMDM,Jessie Lake,Undetermined,,Lake,Water Feature,LAKE,0c87ed08849c20c36d3391a4c52f3508,61-5-W4,Alberta,"250000",1950-06-02,Alberta Culture and Tourism,./0.png
-114.9730556,54.8908334,IAMDN,Jessie Lake,Undetermined,,Lake,Water Feature,LAKE,0c87ecc6849c20c31cc32bda06acb769,68-7-W5,Alberta,"250000",1958-01-16,Alberta Culture and Tourism,./0.png
