INCIDEN_NO,INCIDEN_TY,LOCATION,LSD,SECTION,TOWNSHIP,RANGE,MERIDIAN,LICENCE_NO,LICENCE_TY,INCI_DATE,NOTIF_DATE,COMPLE_DAT,SOURCE,CAUSE_CATG,CAUSE_TYPE,FAIL_TYPE,STRIKE_ARE,FIELD_CEN,LIC_BA_ID,LICENSEE,INJURY,FATALITY,JURISD_CAT,JURISDICT,OFFSITE,SENSI_AREA,CSUFILENO,REVIEWCLOS,REVCLOSDES,PUB_AFFECT,ENV_AFFECT,WILD_AFFEC,AREA_AFFEC,PUB_EVACUA,CLEANUP_DA,PIPE_LIC,PIPE_NUM,PIPE_DAMAG,PIPE_FAIL,PIPE_DIAM,PIPE_GRADE,PIPE_THICK,SEG_LENGTH,SEG_STATUS,CROSS_TYPE,PIPE_TYPE,PIP_MATERL,PIPE_MAOP,STRESSLEVL,JOINTMETHD,EXT_COAT,INT_PROTEC,SUB_REL_1,VOL_REL_1,VOL_REC_1,VOL_UNIT_1,SUB_REL_2,VOL_REL_2,VOL_REC_2,VOL_UNIT_2,SUB_REL_3,VOL_REL_3,VOL_REC_3,VOL_UNIT_3,SUB_REL_4,VOL_REL_4,VOL_REC_4,VOL_UNIT_4,SUB_REL_5,VOL_REL_5,VOL_REC_5,VOL_UNIT_5,SUB_REL_6,VOL_REL_6,VOL_REC_6,VOL_UNIT_6,SUB_REL_7,VOL_REL_7,VOL_REC_7,VOL_UNIT_7,icon_url
"20001994",Release,14-20-066-10W5,"14","20","66","10","5","14573",Pipeline Licence,2000/08/15,2000/08/15,2000/09/06,Water Pipeline,Conversion,Conversion,Corrosion External,SWANH,St. Albert,"0006",Home Oil Company Limited,0.000000000000000,0.000000000000000,,,Y,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,2000/09/06,"68091","81",Leak,N,114.299999999999997,"3591",4.800000000000000,1.070000000000000,Operating,,Z245.1,Steel,20680.000000000000000,,Welded,,Expanded Poly,Salt/Produced Water,5.00000000000,0.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"20010659",Release,14-20-066-10W5,"14","20","66","10","5","9353",Pipeline Licence,2001/02/25,2001/02/25,2001/02/28,Multiphase Pipeline,Conversion,Conversion,Corrosion External,SWANH,St. Albert,"0006",Home Oil Company Limited,0.000000000000000,0.000000000000000,,,Y,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,2001/02/28,"39467","10",Leak,N,88.900000000000006,"2901",4.800000000000000,1.950000000000000,Operating,,Z245.1,Steel,9000.000000000000000,"29",Welded,,Uncoated,Crude Oil,0.40000000000,0.00000000000,m3,Salt/Produced Water,0.10000000000,0.00000000000,m3,,,,,,,,,,,,,,,,,,,,,./0.png
"20021237",Release,14-20-066-10W5,"14","20","66","10","5","9353",Pipeline Licence,2002/05/12,2002/05/12,2002/05/12,Multiphase Pipeline,Conversion,Conversion,Corrosion External,SWANH,St. Albert,"0006",Home Oil Company Limited,0.000000000000000,0.000000000000000,,,N,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,2002/05/12,"39469","12",Leak,N,88.900000000000006,"2901",4.800000000000000,0.970000000000000,Operating,,Z245.1,Steel,9000.000000000000000,"29",Welded,,Uncoated,Salt/Produced Water,0.10000000000,0.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"20071090",Release,14-20-066-10W5,"14","20","66","10","5","9353",Pipeline Licence,2007/04/28,2007/04/28,2007/08/10,Multiphase Pipeline,Equipment Failure,External corrosion,Corrosion External,SWANH,St. Albert,0K29,Devon Canada Corporation,,,Crown,Crown Any Area,Y,N,,,,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,2007/04/28,"39469","12",Leak,N,88.900000000000006,"2901",4.800000000000000,0.970000000000000,Operating,,Z245.1,Steel,9000.000000000000000,"29",Welded,Other (note type in release comments),Uncoated,Crude Oil,0.10000000000,0.10000000000,m3,Salt/Produced Water,0.10000000000,0.10000000000,m3,,,,,,,,,,,,,,,,,,,,,./0.png
"20081109",Release,14-20-066-10W5,"14","20","66","10","5","9353",Pipeline Licence,2008/05/07,2008/05/07,2008/05/26,Multiphase Pipeline,Equipment Failure,External corrosion,Corrosion External,SWANH,St. Albert,0K29,Devon Canada Corporation,0.000000000000000,0.000000000000000,Crown,Crown Any Area,N,N,,,,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0.000000000000000,2008/05/07,"39469","12",Leak,N,88.900000000000006,"2901",4.800000000000000,0.890000000000000,Operating,,Z245.1,Steel,9000.000000000000000,"29",Welded,YJ,Uncoated,Gas Production (Raw),0.10000000000,0.00000000000,103 m3,Salt/Produced Water,5.00000000000,5.00000000000,m3,,,,,,,,,,,,,,,,,,,,,./0.png
"20140283",Release,14-20-066-10W5,"14","20","66","10","5","50213",Pipeline Licence,2014/02/05,2014/02/05,2015/03/16,Multiphase Pipeline,Equipment Failure,Internal corrosion,Corrosion Internal,SWANH,St. Albert,0HE9,Canadian Natural Resources Limited,0.000000000000000,0.000000000000000,Crown,Crown Any Area,N,N,,,,No affect/Normal Notification,Air/Land,Animal(s) affected,100 square meters or less,0.000000000000000,2014/02/05,"282887","22",Leak,N,88.900000000000006,"3592",4.800000000000000,1.000000000000000,Operating,,Z245.1,Steel,9000.000000000000000,"23",Welded,YJ,Uncoated,Gas Production (Raw),0.10000000000,0.00000000000,103 m3,Salt/Produced Water,1.50000000000,1.50000000000,m3,,,,,,,,,,,,,,,,,,,,,./0.png
"19910251",Release,10-25-066-10W5,"10","25","66","10","5","0024581",Well Licence,1991/02/06,1991/02/06,1991/02/08,Oil Well,Conversion,Conversion,Stuffing Box,SWANH,St. Albert,0BL1,ConocoPhillips Canada (BRC) Ltd.,0.000000000000000,0.000000000000000,Crown,Crown Whitecourt,Y,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,1991/02/08,,,,,,,,,,,,,,,,,,Crude Oil,1.00000000000,1.00000000000,m3,Salt/Produced Water,1.00000000000,1.00000000000,m3,,,,,,,,,,,,,,,,,,,,,./0.png
"19911972",Release,10-25-066-10W5,"10","25","66","10","5","0024581",Well Licence,1991/12/09,1991/12/09,1991/12/11,Oil Well,Conversion,Conversion,Stuffing Box,SWANH,St. Albert,0BL1,ConocoPhillips Canada (BRC) Ltd.,0.000000000000000,0.000000000000000,Crown,Crown Whitecourt,N,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,1991/12/11,,,,,,,,,,,,,,,,,,Crude Oil,20.00000000000,20.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"19810952",Release,12-25-066-10W5,"12","25","66","10","5",,,1981/11/12,1981/11/12,1981/11/13,Pump Station,Conversion,Conversion,Neglect,SWANH,St. Albert,"0156",Federated Pipe Lines Ltd.,0.000000000000000,0.000000000000000,Crown,Crown Whitecourt,N,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,1981/11/13,,,,,,,,,,,,,,,,,,Crude Oil,19.00000000000,19.00000000000,m3,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"19901180",Release,02-28-066-10W5,"2","28","66","10","5","11148",Pipeline Licence,1990/07/24,1990/07/24,1990/07/26,Multiphase Pipeline,Conversion,Conversion,Corrosion External,SWANH,St. Albert,"0006",Home Oil Company Limited,0.000000000000000,0.000000000000000,Crown,Crown Whitecourt,N,N,,,,Conversion from ENV system,Air/Land,Conversion from ENV system,Conversion from ENV system,,1990/07/26,"52025","3",Leak,N,88.900000000000006,0X42,4.780000000000000,,Operating,,,,,,,,,Crude Oil,1.00000000000,0.00000000000,m3,Salt/Produced Water,1.00000000000,0.00000000000,m3,,,,,,,,,,,,,,,,,,,,,./0.png
