X,Y,X,Y,Licence,CompName,Latitude,Longitude,KBE,GroundElev,SurfLoc,EDCT,RatingLev,LicStatus,LicStatDat,OpSurvProv,auxiliary_,icon_url
-115.497979,54.823341,,,"0016193",Canadian Natural Resources Limited(0HE9),54.823340999999999,-115.497979000000001,1055.799999999999955,1053.400000000000091,04:29:06.000,BWL,J,Issued,07 Nov 1958,,,
-115.536225,54.815909,,,"0016194",Canadian Natural Resources Limited(0HE9),54.815908999999998,-115.536225000000002,1141.500000000000000,1138.400000000000091,10:24:06.000,BWL,J,Suspension,19 Jun 2016,,,
-115.523275,54.822934,,,"0016279",Devon Canada Corporation(0K29),54.822933999999997,-115.523274999999998,1092.400000000000091,1087.200000000000045,04:30:06.000,BWL,J,RecExempt,12 Nov 1958,,,./0.png
-115.459297,54.815934,,,"0016282",Canadian Natural Resources Limited(0HE9),54.815933999999999,-115.459297000000007,977.200000000000045,974.399999999999977,10:21:06.000,BWL,J,Suspension,09 Oct 2015,,,
-115.523385,54.808695,,,"0016364",Canadian Natural Resources Limited(0HE9),54.808695000000000,-115.523385000000005,1044.200000000000045,1040.599999999999909,04:19:06.000,BWL,J,Suspension,30 Jul 2019,,,
-115.523166,54.822953,,,"0016396",Canadian Natural Resources Limited(0HE9),54.822952999999998,-115.523166000000003,1091.799999999999955,1087.200000000000045,04:30:06.000,BWL,J,Issued,11 Dec 1958,,,
-115.434954,54.844567,,,"0016397",Canadian Natural Resources Limited(0HE9),54.844566999999998,-115.434954000000005,990.600000000000023,986.000000000000000,10:34:06.000,BWL,J,Suspension,26 May 2016,,,
-115.459621,54.80181,,,"0016398",Canadian Natural Resources Limited(0HE9),54.801810000000003,-115.459620999999999,1002.200000000000045,998.200000000000045,10:16:06.000,BWL,J,Issued,11 Dec 1958,,,
-115.485408,54.801477,,,"0016400",Canadian Natural Resources Limited(0HE9),54.801476999999998,-115.485408000000007,971.100000000000023,966.799999999999955,10:17:06.000,BWL,J,Suspension,14 Nov 2018,,,
-115.472813,54.823211,,,"0016412",Canadian Natural Resources Limited(0HE9),54.823211000000001,-115.472813000000002,1012.500000000000000,1008.000000000000000,04:28:06.000,BWL,J,Issued,15 Dec 1958,,,
-115.484967,54.889008,,,"0016413",Acquisition Oil Corp.(A7N3),54.889007999999997,-115.484966999999997,1025.000000000000000,1020.500000000000000,10:17:06.000,BWL,J,Abandoned,10 Mar 2008,,,./1.png
-115.446815,54.838213,,,"0016414",Canadian Natural Resources Limited(0HE9),54.838213000000003,-115.446815000000001,989.399999999999977,986.299999999999955,04:34:06.000,BWL,J,Suspension,14 Jul 2009,,,
-115.536704,54.830542,,,"0016417",Canadian Natural Resources Limited(0HE9),54.830542000000001,-115.536704000000000,1147.000000000000000,1142.700000000000045,10:25:06.000,BWL,J,Issued,15 Dec 1958,,,
-115.485414,54.81593,,,"0016418",Canadian Natural Resources Limited(0HE9),54.815930000000002,-115.485414000000006,1017.399999999999977,1013.500000000000000,10:20:06.000,BWL,J,Issued,15 Dec 1958,,,
-115.497508,54.838067,,,"0016419",Canadian Natural Resources Limited(0HE9),54.838067000000002,-115.497507999999996,1068.900000000000091,1064.400000000000091,04:32:06.000,BWL,J,Issued,15 Dec 1958,,,
-115.43384,54.750462,,,"0016467",Canadian Natural Resources Limited(0HE9),54.750461999999999,-115.433840000000004,1267.700000000000045,1263.700000000000045,04:34:06.000,BWL,J,Issued,23 Dec 1958,,,
-115.47253,54.757673,,,"0016469",Canadian Natural Resources Limited(0HE9),54.757672999999997,-115.472530000000006,1279.599999999999909,1275.599999999999909,10:32:06.000,BWL,J,Issued,23 Dec 1958,,,
-115.448032,54.743637,,,"0016470",Canadian Natural Resources Limited(0HE9),54.743637000000000,-115.448031999999998,1214.299999999999955,1210.099999999999909,10:28:06.000,BWL,J,Issued,23 Dec 1958,,,
-115.485312,54.845015,,,"0016485",Canadian Natural Resources Limited(0HE9),54.845014999999997,-115.485311999999993,1029.599999999999909,1025.299999999999955,10:32:06.000,BWL,J,Suspension,17 Sep 2015,,,
-115.237521,54.82694,,,"0016519",ExxonMobil Canada Ltd.(0057),54.826940000000000,-115.237521000000001,1194.799999999999955,1191.500000000000000,06:25:06.000,BWL,J,RecExempt,13 Mar 1959,,,./0.png
